timestamp_sec,x,y,z
25.623955567,4.308212641,1.672280949,0.075184664
25.657442627,4.296912094,1.677151769,0.074224573
25.825343750,4.237021179,1.701256614,0.069276099
25.858859619,4.226324163,1.704823590,0.068406809
25.892376465,4.216510576,1.707516382,0.067620730
26.059976563,4.167437996,1.720981613,0.063689962
26.093499756,4.157622551,1.723674914,0.062903734
26.293914551,4.093331155,1.738545444,0.057812327
26.327289551,4.082598697,1.741016116,0.056962642
26.527539795,4.017385595,1.750001358,0.052451196
26.560915039,4.006513381,1.751475380,0.051701648
26.727066651,3.952398789,1.754745307,0.047766556
26.793743164,3.930682905,1.755956194,0.046182335
26.893756592,3.899154153,1.756955380,0.043953982
26.993768311,3.867829040,1.757795683,0.041754431
27.060442139,3.847019046,1.758347895,0.040319884
27.227247315,3.796827482,1.759525355,0.037543778
27.327363526,3.766004878,1.760324942,0.035893790
27.460851807,3.721003042,1.761910887,0.033784617
27.494223877,3.709752583,1.762307374,0.033257324
27.694456299,3.650770360,1.759561976,0.030760705
27.727941406,3.641216044,1.758916814,0.030367414
27.761279053,3.631703802,1.758274493,0.029975854
27.794616211,3.621959535,1.757420948,0.029536115
27.894626953,3.591362914,1.753619272,0.027933802
27.927963379,3.581164190,1.752352066,0.027399705
27.961299805,3.570965465,1.751084859,0.026865609
28.027971680,3.550959940,1.748661060,0.025847318
28.161313233,3.512743694,1.744320131,0.024039316
28.194648194,3.503189755,1.743234912,0.023587321
28.227982910,3.493635886,1.742149702,0.023135330
28.394653321,3.446761523,1.738529192,0.020118223
28.527986084,3.408511189,1.735514537,0.017449480
28.727979004,3.342770237,1.727850416,0.011770216
28.861311524,3.298141713,1.721057043,0.009090154
28.894644043,3.286980082,1.719348830,0.008426655
28.927976319,3.275818533,1.717640629,0.007763162
28.961308350,3.264657066,1.715932441,0.007099673
29.027971924,3.240414391,1.712396249,0.005208443
29.094634766,3.215842400,1.708839522,0.003220370
29.127965576,3.203556629,1.707061191,0.002226352
29.161296387,3.191270859,1.705282861,0.001232334
29.327947022,3.133499546,1.696986034,-0.003779177
29.361276367,3.122226703,1.695372432,-0.004784648
29.561248291,3.051475363,1.684340074,-0.011594231
29.594597901,3.039243870,1.682312796,-0.012837639
29.627936279,3.027016497,1.680286200,-0.014080628
29.794625000,2.965192956,1.673579130,-0.021092713
29.827961914,2.952736129,1.672698071,-0.022602225
